descricao,interacoes,reviews,tamanho,tempo_de_analise
48,2,4,4,2
82,1,2,5,34
0,3,1,404,5
1593,15,3,68,29154
438,2,9,79,44
280,2,5,25,17016
101,0,2,114,16
47,3,1,1,23
104,1,1,0,56
54,0,1,167,2
159,2,17,153,77
137,0,2,108,64
1342,5,2,35953,4243
116,0,5,409,1
0,19,16,64,458
310,2,1,4,23
245,4,1,19,1311
747,18,4,1127,2193
667,16,9,452,164
0,2,4,1520,23
445,2,1,21,16
74,1,1,4,7
92,0,2,9,1
764,1,4,131,109
14,0,1,277,2
112,1,1,3,23
277,1,3,17,104
519,13,4,166,296
122,3,8,248,402
39,18,9,228,221
16,7,3,401,1489
62,4,1,24,3994
0,1,1,170,16
1000,21,1,454,526
13,5,6,38,515
1967,15,4,1152,127
18,21,1,163,410
1558,6,1,94,390
380,0,3,38,16
164,5,1,34,30
231,1,1,154,17
110,7,1,78,80
23,3,3,1835,501
409,0,2,47,69
427,17,1,383,994
112,0,3,3,1
214,1,1,7,1
12,0,5,24,2
12,2,3,38,2540
12,1,1,13,1
973,6,10,361,45
60,1,2,29,16
40,0,3,62,10
205,3,8,25,120
116,0,1,37,74
341,1,2,7,142
291,1,3,149,127
118,3,1,66,172
131,13,2,14,1264
331,2,15,126,25
183,6,2,44,41
278,6,6,117,932
0,0,1,140,21
166,3,15,67,193
147,0,1,251,41
97,6,10,118,7238
277,2,3,15,45
171,0,3,3896,767
2891,2,3,307,9
199,3,5,74,291
193,2,1,52,2558
1836,11,6,56,655
1145,14,6,71,371
263,9,4,96,1592
155,0,3,13,2517
52,0,3,32,3
1242,17,20,178,2951
153,1,3,26,1002
283,5,1,143,46
540,34,26,824,431
131,0,1,13,23
360,1,3,3,1
244,3,9,135,19343
261,1,2,9,332
1097,2,1,7,28669
225,3,2,8,2213
120,2,1,12,24
56,3,1,53,1
515,0,3,16,21
532,10,8,1143,6541
61,1,1,2,49
110,5,6,7,68
251,10,6,850,114
12,0,1,113,24
77,4,1,19,2
296,4,12,22,59
221,1,3,36,112
1692,11,9,614,22
727,0,3,28,93
38,5,1,9,63
283,1,1,5,5
1114,3,2,78,32
6,1,4,1282,3
295,10,2,57,111
330,7,17,192,157
92,1,5,51,406
12,3,1,8,119
448,1,1,6,104
85,1,2,137,134
304,7,1,11,1338
231,2,6,268,297
57,2,1,2,6
478,9,5,153,187
627,3,1,0,3
105,1,20,1385,191
504,2,1,22,118
1255,4,4,98,103
236,5,1,6,100
123,9,2,38,64
156,1,1,2144,2
156,5,4,69,20
215,3,2,48,1234
950,7,13,207,46
17,1,1,4,1941
470,1,1,659322,7
513,7,11,5,395
48,4,1,2,178
101,0,6,5,1194
120,1,3,9,260
192,0,1,7,4
12,1,1,1251,16
374,10,9,376,44
624,1,1,29,29
318,10,1,21,5329
472,13,1,20,1336
180,14,13,1411,428
555,4,3,21,419
85,2,2,11,417
388,29,2,193,1241
436,1,2,18485,17
162,3,2,22,44
116,9,2,378,572
18,6,4,107,196
1172,8,1,76,1956
215,0,3,14,24
562,7,8,128,145
569,23,1,74,1158
853,1,1,2,12
285,4,1,6,27
2725,2,4,47,67
580,10,3,34,368
369,5,3,14,1369
189,1,4,88,69
809,21,16,1021,1102
279,0,1,8,57
239,6,4,145,1958
102,0,1,69,38
85,3,4,41,34
171,1,1,316,26
117,3,1,53,1777
111,0,1,65,1
189,1,1,67,57
809,0,1,42,18
317,1,1,188,291
149,1,1,86,36
63,2,1,14,1181
264,29,1,1658,7353
1102,7,9,1210,88
107,2,2,1,481
135,1,1,17,812
0,5,1,4,12
289,8,2,19,741
1024,11,7,65,2661
293,8,4,8,6
155,2,2,87,194
134,1,1,56,236
244,1,1,6,66
108,3,1,2,914
77,0,1,46,21
91,0,3,10,137
30,7,2,121,506
252,1,2,7,46
394,3,1,40,943
122,0,1,16,470
94,0,4,13,235
107,1,2,6,46
54,3,2,12,13
104,1,1,53,3217
565,7,1,15,41
88,0,1,1,15
347,37,6,189,1453
264,11,1,343,1505
626,2,1,12,1013
1415,66,4,292,4567
241,3,3,226,2070
21,2,6,34,19
161,9,8,157,44
0,0,1,2,7
509,5,4,3508,361
349,3,44,334,16300
144,4,5,112,814
171,0,5,196,88
0,3,1,8,436
203,3,1,4,21
0,2,1,11,108
43,15,9,65,3750
12,0,6,110,3
0,3,2,18,58
12,1,1,6,16
245,6,9,72,165
697,37,20,311,1430
588,4,2,106,1136
74,8,1,26,176
13,0,4,13,151
311,5,1,27,3992
22,2,1,4,92
151,0,1,129,11
19,2,2,2,117
242,4,4,41,118
853,3,5,128,6114
0,1,1,596,15
854,5,9,160,30
133,1,2,12,21
131,2,2,10,66
464,0,2,188,54
9,1,2,2,61
0,4,2,19,5903
92,3,1,32,739
131,5,2,20,113
534,5,7,7,142
1515,4,1,367,6
12,3,3,8,317
76,4,6,981,274
176,3,1,38,65
12,3,9,137,237
50,14,9,74,603
94,0,1,75,1
26,5,3,62,38
1297,3,4,413,113
1027,5,1,576,303
82,1,1,3,45
0,0,1,269,20
411,1,1,67,16
328,0,1,64,3
717,4,1,309,98
12,6,4,7,609
68,0,1,8,3
12,1,1,33,86
0,1,1,144,3
178,1,4,131,138
73,1,2,8,47
272,0,1,10,1202
251,0,1,142,1
606,2,2,109,190
286,4,6,30,816
226,21,2,13,359
419,13,1,87,418
733,0,3,545,24
120,11,9,93,985
54,1,1,4,66
207,3,5,72,125
529,2,2,216,925
231,13,17,81,755
12,3,2,20,68
58,1,1,1,43
180,2,2,65,5096
0,6,6,36,80
25,1,12,174,117
286,3,3,11,375
569,2,1,54,172
924,1,5,140,118
3371,0,1,5,6
55,1,1,18,31
12,0,3,92,165
14,2,1,9,12805
263,0,1,2,230
206,1,11,574,123
344,1,2,4,333
0,10,3,16,292
78,0,1,2,25
499,3,3,79,96
13,6,4,21,1729
108,16,2,49,2412
13,4,1,36,7103
299,2,1,3,4851
104,2,1,42,38
57,1,1,6,119
427,3,1,22,1771
306,0,1,18,67
63,3,2,75973,449
120,0,1,4,21
402,2,3,2,166
210,0,5,154,26
479,0,3,99,53
404,1,4,16,26
12,1,3,7850,2
218,0,2,211,71
271,4,5,33,2824
166,2,5,60,88
175,1,1,267,98
160,0,1,24,293
16,8,6,30,2702
219,1,1,4,5
521,2,2,263,147
172,1,8,13,174
90,3,3,134,199
12,2,4,14,15
78,0,4,66,22
85,1,1,4,8
395,3,2,24,52
121,6,1,82,720
0,6,2,21,27
28,0,11,145,21
855,4,3,480,24
275,3,1,6,28
49,4,2,46,1677
474,0,1,653,7
18,0,1,9,16
114,5,9,131,113
419,2,2,34,109
100,0,11,103,97
243,3,2,56,225
263,1,1,122,12022
23,8,1,65,7404
252,6,2,23,919
117,1,2,15,21
66,0,1,4,138
40,0,1,14,16
338,6,3,47,716
0,1,1,5,3222
110,0,1,17,3
1443,22,5,49,3884
0,0,1,62,2
220,5,7,22,339
0,1,4,97,97
13,0,1,6,88
211,1,2,11,6
6,6,4,67,74
723,0,4,102,22
171,0,2,12,16
573,12,9,72,1452
330,0,3,232,116
803,2,3,2100,26
6,7,6,59,99
73,4,12,451,71
483,3,1,205,789
241,1,1,285,1511
997,4,1,136,922
157,15,1,112,30
103,0,1,12,164
1206,7,2,166,67
26,2,1,9,22
713,0,1,177,77
143,2,1,2,30
325,0,1,9,610
217,0,1,49,592
661,6,5,29,2689
0,3,1,15,2726
72,1,1,87,2694
361,9,1,34,3
0,1,1,1,143
154,7,1,81,860
60,0,1,4,406
279,0,1,20,857
0,1,8,66,38
12,7,1,6,65
274,2,2,392,47
69,2,4,149,193
25,3,2,4,1085
168,5,1,7465,179
191,5,3,19,85
474,3,2,44,525
1119,6,2,4,12
107,1,1,45,19
18,2,2,45,119
28,1,1,40,163
935,4,1,182,170
145,3,4,166,1774
444,2,2,62,272
55,4,1,31,43
521,2,1,580,3131
242,5,4,570,375
12,0,1,26,24
215,2,3,12,48
115,0,2,18,27
69,2,2,30,49
135,2,2,68,315
26,3,5,46,8544
950,2,4,107,24153
605,1,1,1,26
69,4,3,69,143
806,26,22,158,742
482,3,1,77,204
858,4,1,31,2563
722,7,1,2,8636
926,10,1,110,50
13,0,8,85,4
0,1,1,14,42
12,1,4,159,3
84,0,3,4,119
12,0,1,228,1
595,8,1,5,113
203,1,2,12,20
1522,5,3,18,18
353,5,1,20,17
85,1,3,20,2
13,0,6,23,91
13,0,1,4,2
566,1,4,33,84
77,1,14,3895,242
13,1,3,2,72
172,9,2,292,2228
351,5,1,247,41
428,22,3,334,216
131,1,4,5,5
16,1,1,13,193
47,2,1,2,185
17,0,24,830,115
411,1,3,301,35
419,3,1,11,1
406,6,2,223,89
207,39,3,18,2070
616,1,3,2,175
71,0,7,1,12
234,3,5,191,46
135,2,1,5881,37
202,1,11,129,145
0,0,1,4,1
754,6,3,64,289
13,0,6,248,117
192,12,1,55,126
50,10,3,620,1479
1528,1,1,30,14218
14,0,1,9,1
82,2,1,25,59
688,189,3,220,9877
179,0,1,209,22
453,1,2,14,16
76,0,8,496,12
190,5,3,88,263
71,1,1,267,2
0,0,1,1454,6
0,2,1,4,1
13,2,1,80,7
12,3,1,20,21
173,3,1,152,43
460,5,2,20,465
17,4,1,144,256
96,0,1,4,17
127,3,1,9,2214
147,0,1,7,3
11,1,1,61,31
277,4,1,206,666
221,7,7,65,166
567,6,3,52,498
16,1,1,27,315
15,0,1,29,164
220,0,1,519,116
312,2,7,125,13
122,1,1,124,1
280,4,9,167,146
13,6,7,15,332
0,0,2,33,90
485,5,1,61,121
97,1,2,6,14
67,1,2,14,2097
204,20,10,44,257
186,1,3,11,81
13,0,4,7,67
12,1,2,15,9462
286,19,7,116,359
69,1,1,77,42
13,0,3,45,2
104,1,6,103,584
748,12,1,336,1672
204,2,13,211,233
434,2,2,307,14
184,2,2,9,146
90,5,6,274,34
75,6,2,233,30
324,2,1,85,11053
370,8,1,3,218
246,1,3,11,46
873,1,2,109,26
174,0,1,27,110
102,4,2,28,25
536,3,2,71,68
0,0,1,87,1
1003,7,2,4,13167
238,0,1,192,49
166,0,5,76,17
446,1,4,49479,718
452,2,1,4,73
13,0,1,2,3
0,0,1,1,2
419,0,2,89,16
12,0,1,127,3
109,0,1,21,12
61,1,1,2,384
306,0,26,1525,75
812,6,4,19,115
182,7,15,2059,62
537,3,6,618,49
32,2,1,9,12
0,3,1,4,19
111,0,2,11541,35
564,10,7,77,88
219,2,1,185,47
10,1,2,30,21
306,0,2,32,120
200,2,5,60,40
413,7,4,34,48
296,0,1,36,26
154,4,1,31,1
71,8,2,435,40
2058,7,14,39,775
145,0,1,15,23
13,0,2,4,20
110,1,2,1,79
349,16,1,106,2148
194,0,1,32,1
99,3,4,24,69
84,1,1,12,1281
566,1,2,122,190
297,3,1,64,189
177,0,3,32,7
195,0,1,1,5
34,0,1,2,5
78,3,1,18,12
474,0,2,18,40
32,1,1,7,20
189,4,2,42,965
17,5,8,46,1420
616,7,2,16,56
147,2,3,11,428
318,0,5,3,63
96,0,3,1523,20
19,5,6,599,92
211,3,1,6,350
13,2,2,9,351
912,12,1,18,14
258,1,1,3,10
12,0,1,162,13
375,2,1,33,827
216,17,13,27,1310
18,11,6,30,168
0,4,10,583,93
41,2,2,43,3
573,1,1,24,16
388,5,1,87,163
13,4,5,495,91
12,1,1,40,69
462,1,1,45,46
0,0,1,2,4
84,0,1,93,135
28,3,2,68,7
86,3,2,36,863
6,7,3,17,45
12,1,1,8,19
187,1,1,3,3
701,2,1,147,22
724,12,3,269,216
521,0,1,32,1895
12,0,1,4,7
539,0,8,13,2
401,21,1,287,21
231,2,4,154,116
911,5,2,34,634
196,2,1,6,46
2350,2,1,352,49
222,0,1,11,1
14,0,2,58,22
713,12,22,29,423
116,6,8,18,708
1305,5,3,275,18
1436,0,4,179,29
253,1,1,8,22
410,2,2,19,460
559,1,1,8,10
81,0,2,57,22
76,1,3,31,18
95,0,2,11,263
79,0,2,2,272
0,2,1,17,18
18,0,1,1,9
236,1,12,73,137
54,3,1,9,15
313,0,1,4,28
232,2,1,36,56
183,2,5,98,100
10,2,1,18,195
50,2,5,64,3
139,1,3,13,44
957,0,1,15,53
302,0,1,105,26
179,0,2,17,24
155,1,2,13,24
253,1,3,78,30
3589,8,2,16,115
77,4,5,83,141
303,1,1,48,27
504,6,4,17,348
335,3,2,463,95
23,0,1,4,2
432,2,1,2,119
1918,9,1,47,12329
151,5,1,14,19
315,4,1,38,12
180,9,1,202,141
481,5,1,8,17
12,4,1,5,2
12,0,4,30,21
274,7,10,159,21
165,2,2,24,42
1210,0,1,10,7
628,0,3,30,43
71,3,2,305,119
75,3,1,6,4
59,1,1,32,21
178,0,1,4,17
1071,0,1,96,71
527,0,1,2,47
12,0,2,154,39
306,0,2,123,21
1383,13,2,15,9298
12,0,1,9,17
521,9,6,70,5190
147,4,12,82,60
13,3,2,2,12
52,1,2,70,47
12,0,1,10,43
363,2,6,446,76
12,0,2,30,27
0,10,3,16,810
154,4,2,20,16
14,1,4,108,2532
64,1,1,27,2
13,0,1,10,71
97,0,5,100,1
78,0,5,85,75
12,0,2,21,70
211,0,1,8,41
12,4,3,6,1197
123,2,4,133,9580
600,4,1,213,353
111,3,5,168,22
13,1,3,10,14
312,0,1,2,133
17,0,1,2,1
182,0,1,88,116
7,1,1,1,11
17,3,5,43,73
193,0,3,2,14
1068,0,1,71,5643
126,9,3,51,82
28,2,3,33,1197
684,1,6,42,98
13,3,2,12,14
205,13,2,123,158
12,1,1,10,2
82,0,1,731,4
509,7,2,5,46
91,1,1,6,1187
12,0,4,3,230
54,4,12,16,332
103,3,2,6,79
387,0,1,8,1
83,1,1,359,19
832,4,2,153,331
806,9,19,153,18614
274,0,1,1,44
257,0,1,3,1
79,3,6,22,366
20,13,10,16,1823
24,0,2,54,19
80,2,1,1539,116
86,0,1,40,21
215,2,3,40,89
197,2,4,4,103
207,0,1,43,72
197,1,8,56,8
165,0,2,58,65
0,2,1,49,329
157,6,1,38,746
130,1,2,10,23
532,8,3,20,366
304,2,10,7,1605
175,5,3,25,2186
767,9,1,140,2164
148,3,3,19,24
12,0,1,32,16
0,0,1,8,22
1753,7,2,102,499
596,2,9,145,67
491,21,9,8,491
494,1,1,10,2083
14,6,2,22,2080
13,2,3,3,3510
604,0,1,34,18
12,6,1,136,451
84,6,2,2,3560
20,6,8,29,163
12,0,1,8,138
235,0,2,3652,17
195,0,1,53,1
64,0,1,2,16
344,1,2,6,31
515,1,4,84,48
0,0,1,2,27
23,1,1,8,22
378,0,6,94,10
12,0,3,21,72
33,5,21,115,3722
52,2,5,58,11
165,1,5,2,7018
1212,3,1,44,5325
13,0,1,2,135
39,0,1,4,32
13,0,12,247,27
12,1,1,14,21
117,1,8,62,168
0,0,1,2,7
25,0,1,4,7
532,2,5,120,6962
0,4,2,46,93
273,4,3,37,82
12,0,1,1,550
0,0,1,10,44
0,0,1,6,44
0,0,2,4,44
0,0,1,2,44
0,0,1,2,46
0,0,1,2,44
0,3,1,4,212
351,2,2,37,53
1647,6,2,71,528
229,8,1,3,8588
278,2,1,3,12
130,0,8,8,169
63,5,6,210,20
290,8,2,59,1459
502,0,1,4,12
12,0,1,58,153
59,1,4,155,14183
535,1,5,31,119
12,1,7,81,314
0,6,1,20,73
202,2,1,12,393
499,4,3,901,230
12,4,1,15,29
12,0,1,10,7
13,0,1,4,1086
13,5,1,5,358
13,5,5,56,8580
13,4,1,5,4969
40,0,1,1,13202
2123,3,2,826,2684
433,1,8,24,813
12,3,6,2,168
121,0,1,63,18
12,0,1,8,7
188,1,1,2,4
0,0,1,17,247
111,3,2,246,5177
143,1,2,8,15
230,0,1,11,1
1202,1,2,70,2
182,3,3,9,66
1962,0,1,105,21
76,1,1,2,6
426,0,1,6,1
12,5,5,449,335
274,16,1,16,3105
0,1,1,2,11
233,2,7,48,2
50,0,1,0,20
316,0,1,8,6
12,2,2,31,113
241,2,1,10,21
379,4,2,86,427
326,1,1,25,6
108,0,1,6,96
163,0,2,5,3
17,3,1,8,68
103,5,1,7,405
22,1,1,4,12
193,0,1,2,3
756,12,1,1481,1702
111,0,1,33,56
142,0,4,10,28
426,6,8,23,642
35,0,1,6,1
224,2,1,18,19
514,2,2,8,40
6,0,1,20,45
470,1,2,192,347
175,4,1,43,435
256,1,1,37,424
125,0,1,2,100
757,2,1,7,29
146,1,2,53,267
976,2,5,46,168
12,0,1,16,18
12,0,5,109,238
66,0,2,2,17
107,7,3,31,20
47,14,1,120,6232
208,1,1,3,171
12,1,1,6,17
138,11,1,12,6034
11,3,2,804,117
663,0,7,185,46
262,4,1,1965,111
98,0,1,6,91
444,0,2,18,63
169,12,20,80,1983
1844,9,6,267,251
439,7,4,105,387
1110,2,1,33,21
790,8,5,12,369
241,3,1,16,5836
364,0,2,28,284
73,3,1,2,23
298,0,1,7,17
779,1,3,51,92
299,5,1,6,19
111,1,5,80,770
657,5,1,132,6930
10,0,1,116,17
100,0,1,6,1
370,4,2,46,213
31,2,1,276,1144
295,0,1,2,14
12,2,1,16,23
351,0,2,4,21
0,1,1,4,23
159,1,2,16,55
0,1,1,529,1500
459,5,12,122,971
264,0,2,2,116
13,3,8,32,1485
109,0,2,28,46
352,0,1,149,45
964,1,1,94,7483
1134,38,2,73,4781
69,1,4,21,29
82,0,1,121,30
67,0,1,5,22
73,0,1,7,22
73,1,1,7,15
784,2,1,37,4500
438,0,3,2,217
6,0,1,4,4
179,0,3,70,1
174,1,1,99,83
81,2,1,86,140
491,2,1,88,52
719,0,1,3040,141
261,0,6,14,1624
660,4,2,23,208
244,3,4,37,163
2533,10,17,129,522
1518,6,1,2010,119
409,0,18,38,96
760,2,4,61,5106
603,0,1,51,5
878,10,8,6,62
6,5,1,62,186
165,0,5,570,19
160,1,1,230,19
143,5,7,18,64
1574,0,3,142,19
89,1,8,113,71
1152,26,11,27,199
162,0,1,2,4
114,0,3,32,107
610,40,5,954,783
274,0,1,55,16
212,9,1,57,6561
226,1,2,5,207
762,1,1,4,204
551,2,1,2,48
252,3,1,9,686
169,8,4,85,35
100,1,1,386,3
394,1,1,6,11
577,3,4,31,141
0,2,2,39,482
0,0,1,7,47
171,4,2,17,6348
637,5,74,662,1107
618,2,1,69,72
270,1,1,5,719
120,1,2,12,47
457,3,2,22,331
0,1,1,66,327
1320,3,6,35,19
327,0,1,584,3
266,0,4,1,82
2598,6,1,20,911
71,1,1,1,36
303,4,1,12,156
141,0,3,343,335
267,0,2,85,221
441,3,2,569,522
13,12,1,16,2712
10,0,1,6,1
98,1,1,1,1
944,2,1,10,18
12,0,1,101,8
87,0,1,17,3
602,0,1,11,1
85,17,14,536,1085
196,0,1,47,20
48,1,1,20,13
444,1,2,4,4350
209,0,1,6,19
431,0,4,17,19
173,0,1,12,19
153,3,3,11,19
235,0,1,9,18
12,0,3,3,5
12,2,2,3,5
17,0,1,5,17
93,6,6,162,87
239,4,1,12,29
10,4,3,20,40
113,4,2,30,276
204,4,4,10339,340
173,5,2,4,4783
48,1,1,18,65
702,8,2,159,83
313,2,4,2,43
167,1,1,196,23
629,7,2,35,831
0,0,1,2,3
785,1,2,16,22
214,3,1,6,92
13,0,1,10,498
201,0,1,8,19
180,1,4,251,124
403,3,4,340,117
0,3,3,104,121
13,1,3,11,39
129,4,2,75,2663
188,3,1,4,69
12,1,1,10,49
111,3,3,275,47
96,1,1,187,1
0,0,1,93,69
10,2,1,154,14
144,10,5,57,3944
569,17,3,250,9954
0,0,1,2,1
347,4,1,6,323
202,1,1,34,2
0,0,1,18,197
0,0,2,431,196
157,2,2,45,584
277,1,2,2,61
10,0,1,2,51
250,0,7,118,62
91,1,1,2,70
273,1,1,3,32
845,2,1,26,45
21,0,1,6,2
613,4,4,4,15
37,0,1,20,2
829,1,2,10,9
37,1,3,6,3695
0,0,2,33,19
432,0,4,160,115
597,2,3,125,117
70,2,15,107,2
54,0,4,132,315
982,5,1,25,70
87,1,1,34,2351
0,1,1,4,30
128,0,1,18,26
109,2,2,21,463
1459,2,3,19,3643
13,2,2,5,44
163,0,1,12,6
58,4,2,275,17
219,1,1,4,2
172,0,1,6,1
397,0,1,15,17
386,2,4,44,318
64,2,1,4,5036
118,0,1,5,6
483,1,1,70,91
383,1,1,51,250
178,5,1,26,3508
140,0,1,589,3
201,0,1,125,1
0,1,3,402,1
536,1,1,20,24
384,17,4,34,1868
26,0,1,11,17
12,0,1,4,50
196,2,1,56,23
362,4,6,147,11
0,1,1,24,19
228,2,1,427,15
342,1,1,70,6
335,10,10,411,177
0,1,1,578,12
20,0,1,45,71
0,0,1,2,1
566,0,2,74,287
274,3,4,109,168
185,17,9,259,2440
118,0,1,2,18
415,7,3,6,17
596,2,1,27,7
382,2,1,42,4878
647,5,2,112,287
236,1,3,8,124
63,2,2,4,117
925,3,3,44,4857
582,8,3,425,1337
54,0,5,4,2
75,1,1,9,224
0,1,1,6,1
0,7,1,1,2553
212,3,1,56,4982
63,1,1,21,3
449,1,2,2,4924
12,0,4,68,163
22,8,4,84,138
0,1,1,2,1
559,1,1,48,13
301,3,2,61,179
541,3,3,3,51
14,3,1,0,22
12,0,4,8,51
0,2,1,17,27
0,2,2,4,2917
431,0,1,20,5
20,0,1,4,2
155,0,2,4662,18
154,1,2,7,2487
0,6,1,177,52
774,4,5,48,133
174,0,1,8,10
179,1,3,78,47
375,5,1,15,237
121,0,1,3,27
12,0,2,172,17
0,0,1,8,8
0,0,1,10,8
229,0,5,139,23
0,0,1,158,67
356,0,1,150,40
230,1,1,40,64
121,4,1,93,1812
606,4,18,82,2398
0,0,3,45,6
518,1,1,7,4
257,0,1,138,1
108,1,1,2,185
494,4,4,13,3811
0,1,2,16,100
264,1,1,4,4341
12,8,1,20,831
251,3,3,28,2620
386,2,1,20,2228
906,1,6,24,459
387,2,1,25,528
2158,2,1,3,2603
112,3,1,38,1606
466,20,6,82,1511
0,0,4,6,41
297,4,10,135,401
56,0,1,3,396
113,0,3,4,1
80,0,1,13,3
0,2,1,61,3
454,0,1,4,9455
555,0,1,26,65
172,1,1,70,55
933,3,17,8,546
171,3,9,788,45
0,0,1,2,1
44,1,1,13,599
383,1,1,64,1
12,1,14,22,2422
355,0,1,42,279
83,0,1,22,6
0,0,1,2,2
469,0,1,2,68
1983,0,1,1856,295
0,0,1,2,6
47,0,4,144,55
223,0,1,4,1547
122,3,11,2,210
1299,0,2,2,4
62,0,1,4,3
26,0,1,2,68
44,0,2,8,1
526,1,1,36,54
119,3,1,6,74
370,1,1,8,2
12,1,2,58,249
355,0,1,6,1
12,4,1,9,22
182,0,1,71,4
0,2,2,11,3402
347,3,1,2,3914
12,0,1,42,19
0,1,1,4,14
40,1,2,39,12
91,2,3,16,48
155,2,1,59,3858
0,0,1,2,2
127,0,2,29,3
12,0,1,29,1
1097,0,1,767,113
238,2,1,32,1103
92,3,1,22,67
284,1,1,4,11
195,1,8,82,43
433,2,1,7,37
414,0,4,3,111
299,12,17,74,255
250,7,1,22,167
12,2,1,14,121
459,14,16,104,1940
161,0,1,2,25
215,0,1,29,2
130,1,1,17,13
487,2,5,18,56
181,11,5,55,948
0,0,1,46,21
98,11,2,3,306
792,1,2,1395,42
1642,0,3,33,22
0,0,2,26,5
236,0,6,34,25
842,1,2,77,26
173,2,2,22,129
0,4,4,9,332
191,0,1,6,149
153,0,1,56,1
304,3,6,99,3631
10,0,1,2,11
0,0,6,154,167
12,0,1,40,401
15,2,7,9,1722
0,1,2,4,9
0,0,1,4,6
0,0,6,22,5
0,0,2,4,19
0,0,3,54,75
160,5,2,9,86
123,1,6,15,1
1277,5,2,88,50
111,9,2,14,934
204,2,1,2,26
599,6,1,1891,33
12,3,2,31,221
236,0,1,163,109
190,0,1,39,7
12,4,2,34,80
211,0,1,299,12
868,4,3,40,123
315,1,1,48,98
1288,2,3,2,919
0,1,1,2,34
450,0,2,172,21
0,0,1,956,5
371,0,1,11,14
120,0,1,10,3
185,8,6,1040,310
0,14,10,264,708
461,2,1,14,1387
525,2,1,379,13
172,1,5,107,191
0,0,1,2,26
669,1,1,7,16
142,1,1,82,43
439,0,1,94,20
12,3,2,252,96
80,0,1,216,9
0,0,1,3,1
0,0,1,32,26
0,4,2,61,580
0,0,1,379,43
419,0,1,27,42
443,6,4,146,23
187,1,2,48,2
331,0,1,4,8
380,0,2,126,15
714,8,1,12,2972
489,7,1,455,293
723,5,11,1981,2052
325,0,5,189,23
844,0,2,23,41
390,0,1,2,87
12,2,1,7,644
69,0,1,18,76
37,0,1,72,1
0,0,1,58,65
21,0,1,4,291
48,1,3,23,57
12,0,1,3,103
12,0,1,234,4
112,6,13,95,9
414,1,1,20,17
205,1,1,12,54
0,1,3,32,98
91,1,1,1,1
190,0,2,6,65
1060,4,2,4262,69
321,5,7,10,732
357,3,1,133,1095
0,7,8,49,2827
181,2,1,102,2
0,1,2,4,253
372,0,1,41,284
578,1,5,185,18
12,3,8,381,170
111,0,1,84,23
0,0,1,24,11
208,1,1,50,43
129,1,2,86,15
211,0,1,90,23
314,1,3,2,31
741,7,3,32,45
217,1,2,96,23
412,1,3,7,1033
55,3,1,2,25
0,2,1,62,25
21,1,1,83,23
116,1,1,97,16
322,1,1,1,4
317,0,1,3,3
0,0,1,9884,70
348,1,2,37,72
116,2,1,214,64
0,2,5,98,741
275,0,9,31,23
12,0,1,12,14
693,5,3,41,202
12,0,1,184,46
130,0,3,65,1
491,0,15,116,192
51,0,1,4,1
238,1,2,21,22
259,8,6,14,307
193,3,4,210,136
1451,1,5,238,1
190,1,2,1,505
274,8,2,87,49
446,3,1,9,51
36,0,1,4,39
102,0,3,57,16
57,0,1,6,46
307,0,1,102,43
71,0,1,45,8
152,4,2,10,599
12,0,1,13,18
0,0,1,12,1
48,0,1,20,1
323,0,1,326,312
10,0,1,37,23
10,2,5,379,73
822,3,1,54,3094
157,1,2,5,2079
227,2,5,100,138
184,0,3,18,256
15,1,1,190103,13
206,1,4,274,46
96,1,1,62,2
396,0,1,70,9
179,0,1,62,2
966,5,2,75,75
316,0,2,4,8
54,7,3,35,2399
607,4,6,382,122
108,1,2,2,46
352,0,3,13,22
384,1,1,672,27
411,2,2,2,16
368,1,1,2,9
54,0,1,89,136
12,0,1,68,103
85,1,1,146,124
184,0,2,35,123
478,8,2,8,194
272,13,2,32,95
657,0,1,36,17
579,4,2,20,20
925,6,5,2227,1201
38,0,1,57,197
335,13,5,246,1177
35,0,4,72,18
12,0,1,15,175
54,0,4,3,335
74,5,1,35,4131
160,0,1,1,5
233,0,3,15,3
14,0,2,338,23
173,1,2,6,130
63,0,2,34,1
563,4,2,35,1729
0,0,4,8,211
150,11,4,34,547
191,0,9,66,6
63,0,1,322,14
48,3,3,14,125
380,0,1,63,1
44,2,1,10,73
26,0,2,2,3
12,4,2,974,21
0,3,5,195,74
440,6,1,11,142
615,0,2,12,1
538,2,2,2497,46
59,0,1,2,2
392,1,3,21,16
415,2,2,6,95
687,4,1,19,4
0,0,3,857,144
127,3,3,23,58
193,1,1,73,6
131,0,1,4,5
12,1,1,8,1
102,2,1,26130,25
0,0,1,7,1433
0,3,1,4,37
167,0,1,22,6
58,1,1,6,6
0,1,1,6,7
109,2,3,6,22
280,0,1,10,4
6,3,3,28,39
54,1,1,4,24
361,3,1,145,125
1118,0,2,25,21
0,0,11,352,109
41,9,2,4,125
306,2,2,442,106
0,0,1,356,95
881,5,2,24,14
1152,5,1,931,14
429,2,1,33,58
2642,4,1,954,105
129,4,3,6,219
288,4,5,72,558
0,0,2,2,18
564,6,5,41,46
0,1,2,501,17
344,3,2,14,35
4718,10,13,778,106
0,0,1,54,114
1504,5,1,31,864
370,5,1,35,484
0,0,2,226,1
49,7,1,8,613
46,1,4,37,1029
833,20,3,27,2227
242,1,1,2,10
11,0,1,5,157
92,5,2,65,417
